CustomerID,LastPurchase,Frequency,Monetary,Recency,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,2011-01-18 10:01:00,1,77183.6,325,1,1,1,4,114,Lost
12347.0,2011-12-07 15:52:00,7,4310.0,1,0,4,4,4,444,Champion
12348.0,2011-09-25 13:13:00,4,1797.24,74,0,2,3,4,234,At Risk
12349.0,2011-11-21 09:51:00,1,1757.55,18,0,3,1,4,314,Potential Loyalist
12350.0,2011-02-02 16:01:00,1,334.4,309,1,1,1,2,112,Lost
12352.0,2011-11-03 14:37:00,8,2506.04,35,0,3,4,4,344,Loyal
12353.0,2011-05-19 17:47:00,1,89.0,203,1,1,1,1,111,Lost
12354.0,2011-04-21 13:11:00,1,1079.4,231,1,1,1,3,113,Lost
12355.0,2011-05-09 13:49:00,1,459.4,213,1,1,1,2,112,Lost
12356.0,2011-11-17 08:40:00,3,2811.43,22,0,3,3,4,334,Loyal
12357.0,2011-11-06 16:07:00,1,6207.67,32,0,3,1,4,314,Potential Loyalist
12358.0,2011-12-08 10:26:00,2,1168.06,1,0,4,2,3,423,Potential Loyalist
12359.0,2011-10-13 12:47:00,4,6372.58,57,0,2,3,4,234,At Risk
12360.0,2011-10-18 15:22:00,3,2662.06,51,0,2,3,4,234,At Risk
12361.0,2011-02-25 13:51:00,1,189.9,286,1,1,1,1,111,Lost
12362.0,2011-12-06 15:40:00,10,5226.23,2,0,4,4,4,444,Champion
12363.0,2011-08-22 10:18:00,2,552.0,109,1,2,2,2,222,Lost
12364.0,2011-12-02 10:22:00,4,1313.1,7,0,4,3,3,433,Champion
12365.0,2011-02-21 14:04:00,2,641.38,290,1,1,2,2,122,Lost
12367.0,2011-12-05 16:48:00,1,168.9,3,0,4,1,1,411,Potential Loyalist
12370.0,2011-10-19 14:51:00,4,3545.69,50,0,3,3,4,334,Loyal
12371.0,2011-10-26 10:16:00,2,1887.96,44,0,3,2,4,324,Potential Loyalist
12372.0,2011-09-29 12:12:00,3,1298.04,71,0,2,3,3,233,At Risk
12373.0,2011-02-01 13:10:00,1,364.6,310,1,1,1,2,112,Lost
12374.0,2011-11-14 15:37:00,1,742.9300000000001,24,0,3,1,3,313,Potential Loyalist
12375.0,2011-11-29 10:36:00,2,457.5,10,0,4,2,2,422,Potential Loyalist
12377.0,2011-01-28 15:45:00,2,1628.12,314,1,1,2,3,123,Lost
12378.0,2011-08-02 10:34:00,1,4008.62,129,1,2,1,4,214,Lost
12379.0,2011-09-19 10:09:00,2,852.24,81,0,2,2,3,223,Lost
12380.0,2011-11-18 11:27:00,4,2724.81,21,0,3,3,4,334,Loyal
12381.0,2011-12-05 12:44:00,5,1845.31,4,0,4,3,4,434,Champion
12383.0,2011-06-08 08:02:00,5,1850.56,184,1,1,3,4,134,At Risk
12384.0,2011-11-11 08:39:00,2,585.27,28,0,3,2,2,322,Potential Loyalist
